symbol,market_cap_cr,current_price,pe_ratio,book_value,roce_pct,roe_pct,dividend_yield_pct,promoter_holding_pct,revenue_growth_3yr_pct,profit_growth_3yr_pct,latest_year_ocf_cr,debt_to_equity,as_of_quarter
GRANULES,,834.0,31.8,205.0,15.5,13.8,0.21,38.01,5.0,37.0,793.0,0.3,Jun 2026
GRAPHITE,,666.0,71.4,300.0,4.58,3.11,1.05,65.34,-8.0,15.0,83.0,0.06,Jun 2026
GRASIM,,3105.0,42.2,1520.0,8.01,4.98,0.32,43.73,-10.0,19.0,-17810.0,2.2,Jun 2026
GRAVITA,,1578.0,29.7,332.0,17.0,16.8,0.4,55.88,23.0,33.0,169.0,0.3,Jun 2026
GESHIP,,1371.0,7.88,1188.0,15.8,15.9,2.56,30.08,0.0,20.0,2854.0,0.06,Jun 2026
FLUOROCHEM,,4395.0,82.1,716.0,9.86,7.78,0.07,61.39,-24.0,17.0,961.0,0.29,Jun 2026
GMDCLTD,,560.0,31.6,222.0,10.8,8.34,1.8,74.0,-22.0,46.0,744.0,0.04,Jun 2026
HEG,,659.0,36.0,247.0,8.35,7.42,0.52,56.27,-14.0,22.0,213.0,0.17,Jun 2026
HBLENGINE,,699.0,23.1,79.9,58.4,45.3,0.29,59.11,105.0,54.0,738.0,0.03,Jun 2026
HCLTECH,,1353.0,20.3,277.0,30.4,23.8,3.99,60.88,6.0,7.0,19975.0,0.07,Jun 2026
HDBFS,,681.0,26.0,,9.79,14.7,0.59,74.12,,,-13626.0,,Jun 2026
HDFCAMC,,2546.0,37.0,215.0,42.9,32.9,2.12,52.34,26.0,26.0,2528.0,0.0,Jun 2026
HDFCBANK,,754.0,14.7,390.0,7.02,13.6,1.72,,18.0,-3.0,113506.0,,Jun 2026
HDFCLIFE,,545.0,60.0,90.0,10.3,11.3,0.39,50.54,12.0,-6.0,22625.0,0.17,Jun 2026
HFCL,,185.0,49.4,32.0,10.9,6.95,0.05,28.29,1.0,43.0,-378.0,0.36,Jun 2026
HAVELLS,,1262.0,47.5,151.0,24.9,19.0,0.79,59.35,16.0,-2.0,1572.0,0.03,Jun 2026
HEROMOTOCO,,5325.0,18.6,1080.0,35.2,28.1,3.47,34.73,28.0,18.0,8315.0,0.04,Jun 2026
HEXT,,576.0,24.8,110.0,30.1,24.9,2.0,74.3,18.0,,1739.0,0.1,Jun 2026
HSCL,,760.0,48.0,93.3,22.1,17.8,0.11,52.49,47.0,76.0,382.0,0.16,Jun 2026
HINDALCO,,970.0,12.9,608.0,13.2,13.0,0.52,34.67,19.0,28.0,10250.0,0.73,Jun 2026
HAL,,4581.0,33.6,614.0,32.0,24.0,0.98,71.64,16.0,32.0,10906.0,0.0,Jun 2026
HINDCOPPER,,480.0,47.0,34.6,42.5,32.9,0.3,66.14,50.0,50.0,1474.0,0.03,Jun 2026
HINDPETRO,,388.0,49.5,308.0,22.2,30.9,6.24,54.9,66.0,27.0,36111.0,0.85,Jun 2026
HINDUNILVR,,2108.0,44.9,207.0,28.4,31.0,1.95,61.9,14.0,-5.0,10999.0,0.03,Jun 2026
HINDZINC,,536.0,13.3,53.6,69.5,76.6,2.05,60.71,10.0,19.0,17008.0,0.39,Jun 2026
POWERINDIA,,,,,,,,71.31,,,,,Jun 2026
HOMEFIRST,,,,,,,,6.98,,,,,Jun 2026
HONASA,,446.0,71.4,43.4,19.2,15.7,0.0,35.47,118.0,,141.0,0.1,Jun 2026
HONAUT,,,,,,,,75.0,,,,,Jun 2026
HUDCO,,197.0,9.28,110.0,8.41,20.2,2.31,75.0,33.0,45.0,-33912.0,,Jun 2026
HYUNDAI,,2018.0,33.1,246.0,38.4,29.9,1.04,82.5,5.0,,7321.0,0.05,Jun 2026
ICICIBANK,,1434.0,18.4,527.0,7.18,15.9,0.84,,17.0,13.0,67325.0,,Jun 2026
ICICIGI,,,,,,,,51.22,,,,,Jun 2026
ICICIAMC,,3051.0,51.3,,,,0.89,87.59,,,,,Jun 2026
ICICIPRULI,,511.0,46.1,94.0,10.1,12.6,0.32,72.73,26.0,-4.0,-5355.0,0.19,Jun 2026
IDBI,,84.0,9.69,63.8,5.92,14.1,2.5,94.72,35.0,13.0,16762.0,,Jun 2026
IDFCFIRSTB,,84.8,31.7,56.2,5.98,3.78,0.29,0.0,-13.0,-1.0,6817.0,,Jun 2026
IFCI,,73.5,107.0,33.2,5.03,2.09,0.0,72.57,42.0,77.0,280.0,,Jun 2026
IIFL,,608.0,12.3,327.0,10.9,12.6,0.66,24.84,3.0,2.0,-13976.0,,Jun 2026
IRB,,20.2,24.9,17.3,7.48,4.31,0.77,30.81,8.0,15.0,2098.0,0.96,Jun 2026
IRCON,,126.0,19.8,70.6,9.69,9.19,2.11,65.17,-8.0,9.0,-618.0,0.86,Jun 2026
ITCHOTELS,,161.0,36.3,56.0,11.2,7.89,0.62,39.85,,,1110.0,0.01,Jun 2026
ITC,,285.0,17.1,57.9,38.9,29.3,5.09,,3.0,-13.0,18464.0,0.03,Jun 2026
ITI,,273.0,,19.8,1.41,-8.86,0.0,90.02,16.0,34.0,-135.0,0.4,Jun 2026
INDGN,,515.0,29.8,130.0,18.8,14.4,0.44,,16.0,,651.0,0.05,Jun 2026
INDIACEM,,399.0,91.7,327.0,1.24,0.37,0.0,75.0,28.0,22.0,-27.0,0.13,Jun 2026
INDIAMART,,1743.0,21.2,399.0,28.0,20.7,1.72,49.07,19.0,-18.0,694.0,0.01,Jun 2026
